iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
Love is blind.	الحب أعمى.
I can swim.	يمكنني السباحة.
as a performance art rakugo itself is deceptively simple according to katsura sunshine.	ذكر كاتسورا صن شاين ان الراكوجو في حد ذاته كفن استعراضي خادع في بساطته
What are you going to do?	ماذا ستفعل؟
If you were in my place, what would you do?	ماذا كنتَ ستفعَل لو كنت في مكاني؟
yemanja ruler of ocean waters mother of all orishas published with permission.	ايمانجا حاكمة مياه المحيطات وام جميع الاوريشا استخدمت الصورة بعد الموافقة
bahrain a tale of two villages global voices.	البحرين قصة قريتين الاصوات العالمية
qatar pledge to end human trafficking global voices.	قطر اتفاق لانهاء تجارة البشر الاصوات العالمية
Their wedding is tomorrow.	حفل زفافهم غداً.
Why did you go to Tokyo?	لماذا ذهبت إلى طوكيو؟
this protest blasted fifa s brazil headquarters with inconvenient world cup truths global voices.	احتجاج امام مقر الفيفا في البرازيل يكشف حقايق كاس العالم الاصوات العالمية
Take care of the kids.	اعتني بالاطفال.
You're either with us or you're against us.	أنتَ إما معنا, أو ضدنا.
I asked him where he lived.	سألته أين عاش.
I'm tired. It's been a long day.	أنا متعب. لقد كان يوماً طويلاً.
mohsen is a young doctor he is from fayoum but living and working on minya he introduces himself in the profile of his blog as ahmed mohsen abdul rahman a doctor who is concerned with freedom causes trying to open his eyes and watch what is going on in order to understand it.	محسن طبيب شاب من الفيوم لكنه يعيش ويعمل فى المنيا يقدم نفسه على مدونته كـ احمد محسن عبدالرحمن طبيب و مهتم بقضايا الحريات بحاول انى افتح عينى كويس قوى على اللى بيدور حوالينا عشان افهم
her following tweets are all from march.	تحديثاتها التالية كانت كلها في مارس
photographer maxim zolotukhin believes that almaty the former capital of kazakhstan and the nation s largest city best reveals itself at a certain height on vox populi the photographer presents an aerial view of the city s landmarks captured during daytime and at night.	يومن المصور ماكسيم زولوتوخين ان مدينة الماتي عاصمة كازاخستان السابقة والمدينة الاكبر في البلاد انها تكشف عن نفسها عند ارتفاع معين يقدم لنا المصور على موقع فوكس بوبلي صور علوية ملتقطة من ارتفاعات عالية لمباني وعلامات المدينة المميزة اثناء النهار والليل
whether it is surkania s byzantine ruins.	مثل اثار سرقانيا البيزنطية
the lebanese parliament endorsed a law that bans smoking in public or closed spaces the law also bans any sort of tobacco advertising and promotions reports moudz who added that non smokers have been overjoyed today with the news filling up the social timelines with their expressions of approval.	نشر خبر موافقة البرلمان اللبناني على قانون منع التدخين في الاماكن العامة او المغلقة ومنع القانون كذلك اي نوع من الاعلانات عن منتجات التدخين و تكلم ايضا عن سعادة الغير المدخنين بهذا الخبر الذي انتشر على شبكاتهم الاجتماعية
If you don't work, you can't eat.	إن لم تعمل لن تستطيع الأكل.
iraqi blogger social media activist hayder hamzoz informed via email.	تحدثنا مع المدون وناشط الاعلام الاجتماعي العراقي حيدر حمزوز عبر البريد الالكتروني
donald tsang please die.	دونالد تسانج ارجوك مت
dennis from california and more activists from another countries were arrested including villagers in jeju.	دينيس من كالفورنيا وتسعة نشطاء اخرين من بلدان مختلفة اعتقلوا مع خمسة قرويين في جيجو
the online petition reads.	وهنا مقتطف من نص العريضة
winner of many national photo competitions shrestha told global voices the butterfly habitat is decreasing day by day due to increasing human population.	واوضح شريستا الفايز بالعديد من مسابقات التصوير الوطنية خلال حديث صحفي اجرته معه الاصوات العالمية ان موايل الفراشات تتناقص يوما بعد يوم بسبب النمو السكاني
She disliked her husband.	لم تحب زوجها.
It's been stolen.	لقد تم سرقتها.
Make yourself at home.	خذ راحتك.
If possible, I'd like to receive an answer.	إذا ممكن, أود أن أستلم جواب.
vahid nikgoo drew a cartoon where ahmad lotfi ashtyani looks himself in a mirror and says when i take you to court and sentence you to lashes you will learn not to show me like that.	رسم فاهيد نيكجو رسما حيث ينظر احمد لطفي ايشتاني لنفسه في المراة ويقول عندما اخذك للمحكمة واحكم عليك بالجلد ستتعلم الا ترسمني هكذا
these are the rails of onagawa station the white and green car was washed down to the cemetary near the elementary school.	هذا خط محطة السكة الحديد باوناجاوا العربة الملونة بالابيض والاخضر جرفتها الامواج الى المقابر بالقرب من المدرسة الاعدادية
I learned how to ride a bike when I was six years old.	تعلمت كيفية ركوب الدراجة عندما كان عمري ست سنوات.
